StepNumber,BaseRotation,ShoulderPitch,ShoulderRoll,ElbowPitch,ElbowRoll,HandPitch,GripperRotation,EndEffectorX,EndEffectorY,EndEffectorZ,TargetX,TargetY,TargetZ,DistanceToTarget,DeltaBaseRotation,DeltaShoulderPitch,DeltaShoulderRoll,DeltaElbowPitch,DeltaElbowRoll,DeltaHandPitch,DeltaGripperRotation,DeltaX,DeltaY,DeltaY.1,Gripped,IsGood,BaseRight,BaseLeft,ShoulderDown,ShoulderUp,ElbowDown,ElbowUp,HandDown,HandUp
5,0.0,0.0,0.0,-126.0,0.0,151.0,48.0,-0.000141951,0.604608,0.136902,0.0,0.6,0.0,0.13697961,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.9519290000000004e-05,0.014254987,0.013871014,False,True,0,0,0,0,0,0,1,0
6,0.0,0.0,0.0,-132.0,0.0,151.0,48.0,-0.000121627,0.574819,0.09304201599999999,0.0,0.6,0.0,0.09638939,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,2.032399e-05,-0.029788971,-0.04385999,False,True,0,0,0,0,0,1,0,0
7,0.0,5.0,0.0,-132.0,0.0,151.0,48.0,-4.8250699999999995e-05,0.568283,0.043438002,0.0,0.6,0.0,0.053785037,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.33763e-05,-0.006536007,-0.049604014,False,True,0,0,1,0,0,0,0,0
8,0.0,5.0,0.0,-132.0,0.0,156.0,48.0,9.89015e-05,0.5834590000000001,0.05532200599999999,0.0,0.6,0.0,0.057742003,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0001471522,0.015175998000000001,0.011884003999999998,False,True,0,0,0,0,0,0,1,0
9,0.0,10.0,0.0,-132.0,0.0,156.0,48.0,-6.41092e-05,0.5736899999999999,0.0050089955,0.0,0.6,0.0,0.026782675,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.0001630107,-0.009769021999999999,-0.05031301,False,True,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-122.0,0.0,126.0,48.0,-0.000163837,0.5539930000000001,0.120875,0.0,0.6,0.0,0.1293346,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.000163837,0.5539930000000001,0.120875,False,True,0,0,0,0,1,0,0,0
2,0.0,5.0,0.0,-122.0,0.0,126.0,48.0,-7.75883e-05,0.550321,0.073597014,0.0,0.6,0.0,0.0887949,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.624870000000001e-05,-0.0036720037,-0.047277987,False,True,0,0,1,0,0,0,0,0
3,0.0,5.0,0.0,-122.0,0.0,131.0,48.0,-8.13887e-05,0.56823,0.08113,0.0,0.6,0.0,0.08712875,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-3.8004e-06,0.01790899,0.007532984,False,True,0,0,0,0,0,0,1,0
4,0.0,5.0,0.0,-117.0,0.0,131.0,48.0,-8.88042e-05,0.598608,0.12233201,0.0,0.6,0.0,0.12233996,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-7.415496e-06,0.030378044,0.04120201,False,True,0,0,0,0,1,0,0,0
5,0.0,10.0,0.0,-117.0,0.0,131.0,48.0,-7.57476e-05,0.594661,0.07051399,0.0,0.6,0.0,0.07071587,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.3056597e-05,-0.003947019600000001,-0.051818012999999996,False,True,0,0,1,0,0,0,0,0
6,0.0,15.0,0.0,-117.0,0.0,131.0,48.0,-7.437930000000001e-05,0.58607,0.018878996000000002,0.0,0.6,0.0,0.023462046,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.368302e-06,-0.008590996,-0.051634997,False,True,0,0,1,0,0,0,0,0
7,5.0,15.0,0.0,-117.0,0.0,131.0,48.0,0.050772000000000005,0.583838,0.018865003999999998,0.0,0.6,0.0,0.05652341,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05084638,-0.0022320151,-1.399219e-05,False,True,1,0,0,0,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-122.0,0.0,126.0,48.0,-1.78679e-05,0.5540109999999999,0.12093902,0.0,0.6,0.0,0.12938794,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.78679e-05,0.5540109999999999,0.12093902,False,True,0,0,0,0,1,0,0,0
2,0.0,0.0,0.0,-122.0,0.0,131.0,48.0,-5.772569999999999e-06,0.5714229999999999,0.13081900000000002,0.0,0.6,0.0,0.1339039,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.2095330000000001e-05,0.017412007,0.0098799765,False,True,0,0,0,0,0,0,1,0
3,0.0,5.0,0.0,-122.0,0.0,131.0,48.0,-3.77287e-05,0.568435,0.08181000000000001,0.0,0.6,0.0,0.08768824,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-3.195613e-05,-0.0029879808,-0.049008995,False,True,0,0,1,0,0,0,0,0
4,0.0,5.0,0.0,-122.0,0.0,136.0,48.0,-0.000168615,0.585671,0.09094399,0.0,0.6,0.0,0.09206606,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.0001308863,0.017235993999999998,0.009133995,False,True,0,0,0,0,0,0,1,0
5,0.0,5.0,0.0,-117.0,0.0,136.0,48.0,-0.000173584,0.6151439999999999,0.13345501,0.0,0.6,0.0,0.13431162,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-4.968999e-06,0.029473007000000002,0.042511016,False,True,0,0,0,0,1,0,0,0
6,0.0,10.0,0.0,-117.0,0.0,136.0,48.0,-0.00017423799999999998,0.612242,0.080459,0.0,0.6,0.0,0.08138517,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-6.539922e-07,-0.002902031,-0.05299601,False,True,0,0,1,0,0,0,0,0
7,0.0,15.0,0.0,-117.0,0.0,136.0,48.0,-0.000153599,0.604687,0.027850002000000002,0.0,0.6,0.0,0.028242055,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0638996000000003e-05,-0.007555008,-0.052608997000000005,False,True,0,0,1,0,0,0,0,0
8,0.0,20.0,0.0,-117.0,0.0,136.0,48.0,-0.00022779400000000002,0.594615,-0.021269992,0.0,0.6,0.0,0.021942267,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-7.419499e-05,-0.010071993000000001,-0.04911999400000001,False,True,0,0,1,0,0,0,0,0
10,0.0,15.0,0.0,-117.0,0.0,136.0,48.0,-9.97053e-05,0.604186,0.027090997000000002,0.0,0.6,0.0,0.02741267,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0001404087,0.009566009,0.048353,False,True,0,0,0,1,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-126.0,0.0,131.0,48.0,-5.47349e-05,0.541072,0.0896,0.0,0.6,0.0,0.10724119,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.47349e-05,0.541072,0.0896,False,True,0,0,0,0,0,0,1,0
2,0.0,-5.0,0.0,-126.0,0.0,131.0,48.0,-4.67637e-05,0.543658,0.13673902,0.0,0.6,0.0,0.14789179,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,7.971201e-06,0.0025860071,0.04713902,False,True,0,0,0,1,0,0,0,0
3,0.0,-5.0,0.0,-122.0,0.0,131.0,48.0,1.66297e-05,0.570332,0.180796,0.0,0.6,0.0,0.18321404,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.3393396e-05,0.026673972999999997,0.04405698,False,True,0,0,0,0,1,0,0,0
4,0.0,-5.0,0.0,-117.0,0.0,131.0,48.0,-0.000196527,0.593125,0.22677600000000003,0.0,0.6,0.0,0.22688028,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-0.00021315669999999998,0.022792995,0.045980006,False,True,0,0,0,0,1,0,0,0
5,0.0,0.0,0.0,-117.0,0.0,131.0,48.0,-0.000177238,0.598348,0.175538,0.0,0.6,0.0,0.17554587,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.9289e-05,0.0052230359999999995,-0.051238,False,True,0,0,1,0,0,0,0,0
6,0.0,5.0,0.0,-117.0,0.0,131.0,48.0,-0.000141294,0.598738,0.12263301,0.0,0.6,0.0,0.12263959,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.5944002e-05,0.0003899932,-0.052904993,False,True,0,0,1,0,0,0,0,0
7,0.0,10.0,0.0,-117.0,0.0,131.0,48.0,-1.85849e-05,0.594685,0.07059601,0.0,0.6,0.0,0.07079581,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0001227091,-0.0040529966,-0.052037,False,True,0,0,1,0,0,0,0,0
8,1.0,10.0,0.0,-117.0,0.0,131.0,48.0,0.010124,0.586017,0.018957004,0.0,0.6,0.0,0.025639579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010142584,-0.008668005500000001,-0.051639005999999994,False,True,1,0,0,0,0,0,0,0
9,1.0,16.0,0.0,-117.0,0.0,131.0,48.0,0.0100151,0.583825,0.008837998,0.0,0.6,0.0,0.020977229,0.0,6.0,0.0,0.0,0.0,0.0,0.0,-0.00010889955,-0.0021920204,-0.010119006,False,True,0,0,1,0,0,0,0,0
11,1.0,16.0,0.0,-117.0,0.0,130.0,48.0,0.00977446,0.5800609999999999,0.007770002,0.0,0.6,0.0,0.02352609,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.00023913942000000003,-0.0037710070000000003,-0.0010839999,False,True,0,0,0,0,0,0,0,1
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-126.0,0.0,131.0,48.0,-6.39866e-07,0.540989,0.089469016,0.0,0.6,0.0,0.10717746,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-6.39866e-07,0.540989,0.089469016,False,True,0,0,0,0,0,0,1,0
2,0.0,-5.0,0.0,-126.0,0.0,131.0,48.0,-4.00356e-05,0.543663,0.136987,0.0,0.6,0.0,0.1481192,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,-3.9395734e-05,0.0026740432,0.047517985,False,True,0,0,0,1,0,0,0,0
3,0.0,-10.0,0.0,-126.0,0.0,131.0,48.0,-6.97253e-05,0.542132,0.184089,0.0,0.6,0.0,0.19297014,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,-2.9689698e-05,-0.0015310049,0.047102004,False,True,0,0,0,1,0,0,0,0
4,0.0,-5.0,0.0,-126.0,0.0,131.0,48.0,-5.9606400000000006e-05,0.5438069999999999,0.137696,0.0,0.6,0.0,0.1487207,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.01189e-05,0.0016750097000000001,-0.046393007,False,True,0,0,1,0,0,0,0,0
5,0.0,-5.0,0.0,-126.0,0.0,136.0,48.0,-0.00020174,0.560124,0.14818901,0.0,0.6,0.0,0.15346049,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.00014213359,0.01631695,0.01049301,False,True,0,0,0,0,0,0,1,0
6,0.0,-5.0,0.0,-126.0,0.0,141.0,48.0,-0.000208431,0.575559,0.16074899,0.0,0.6,0.0,0.16259657,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-6.6909997e-06,0.01543504,0.01255998,False,True,0,0,0,0,0,0,1,0
7,0.0,-5.0,0.0,-122.0,0.0,141.0,48.0,-0.000207065,0.600006,0.20691401,0.0,0.6,0.0,0.20691411,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.3660028e-06,0.024446963999999998,0.04616502,False,True,0,0,0,0,1,0,0,0
8,0.0,0.0,0.0,-122.0,0.0,141.0,48.0,-1.57786e-05,0.603528,0.154912,0.0,0.6,0.0,0.15495215,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.00019128639999999999,0.0035220384999999996,-0.052002013,False,True,0,0,1,0,0,0,0,0
9,0.0,5.0,0.0,-122.0,0.0,141.0,48.0,1.0015999999999999e-06,0.602266,0.10225201,0.0,0.6,0.0,0.10227711,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.6780199e-05,-0.0012620091,-0.05265999,False,True,0,0,1,0,0,0,0,0
10,0.0,10.0,0.0,-122.0,0.0,141.0,48.0,6.58844e-06,0.596334,0.049929008,0.0,0.6,0.0,0.050063416,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.58684e-06,-0.005932033000000001,-0.052323,False,True,0,0,1,0,0,0,0,0
11,0.0,15.0,0.0,-122.0,0.0,141.0,48.0,5.38605e-06,0.5859989999999999,-0.0016659945,0.0,0.6,0.0,0.014099783000000001,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.2023902e-06,-0.010334969,-0.051595002,False,True,0,0,1,0,0,0,0,0
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-122.0,0.0,126.0,48.0,-6.93691e-05,0.554121,0.120970994,0.0,0.6,0.0,0.12937878,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-6.93691e-05,0.554121,0.120970994,False,True,0,0,0,0,1,0,0,0
2,0.0,5.0,0.0,-122.0,0.0,126.0,48.0,-7.1158e-05,0.550446,0.073740005,0.0,0.6,0.0,0.088843666,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.788896e-06,-0.0036750436,-0.04723099,False,True,0,0,1,0,0,0,0,0
3,0.0,5.0,0.0,-122.0,0.0,131.0,48.0,-7.05238e-05,0.568263,0.08123499,0.0,0.6,0.0,0.08721449,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.3420157e-07,0.01781702,0.0074949859999999995,False,True,0,0,0,0,0,0,1,0
4,0.0,5.0,0.0,-122.0,0.0,136.0,48.0,-6.28152e-05,0.5856399999999999,0.09091699,0.0,0.6,0.0,0.09204408,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.708601e-06,0.017377019,0.009682,False,True,0,0,0,0,0,0,1,0
5,0.0,10.0,0.0,-122.0,0.0,136.0,48.0,-0.000283475,0.5791310000000001,0.040734007999999995,0.0,0.6,0.0,0.04576959,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.0002206598,-0.0065090059999999995,-0.050182983,False,True,0,0,1,0,0,0,0,0
6,0.0,10.0,0.0,-122.0,0.0,135.0,48.0,-9.74129e-05,0.565058,-0.010325998000000001,0.0,0.6,0.0,0.036435987999999996,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0001860621,-0.014073013999999998,-0.051060006,False,True,0,0,0,0,0,0,0,1
0,0.0,0.0,0.0,-126.0,0.0,126.0,48.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,0,0,0,0,0,0,0,0
1,0.0,0.0,0.0,-126.0,0.0,131.0,48.0,-0.000325086,0.541137,0.08979401,0.0,0.6,0.0,0.10736818599999999,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-0.000325086,0.541137,0.08979401,False,True,0,0,0,0,0,0,1,0
2,0.0,0.0,0.0,-126.0,0.0,136.0,48.0,-0.000307734,0.5585180000000001,0.09947601,0.0,0.6,0.0,0.107779086,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.7351995e-05,0.017381012,0.009682,False,True,0,0,0,0,0,0,1,0
3,0.0,0.0,0.0,-126.0,0.0,141.0,48.0,-0.000302875,0.575072,0.11077699,0.0,0.6,0.0,0.11354753,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.859001e-06,0.016553998,0.011300981000000002,False,True,0,0,0,0,0,0,1,0
4,0.0,5.0,0.0,-126.0,0.0,141.0,48.0,-0.000279153,0.570358,0.06141001,0.0,0.6,0.0,0.06819031,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.3722008e-05,-0.004714012,-0.04936698,False,True,0,0,1,0,0,0,0,0
5,0.0,5.0,0.0,-122.0,0.0,141.0,48.0,-0.000300133,0.602118,0.10197002,0.0,0.6,0.0,0.10199245,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-2.0979991e-05,0.031760037000000005,0.040560007,False,True,0,0,0,0,1,0,0,0
6,0.0,10.0,0.0,-122.0,0.0,141.0,48.0,-0.00018538099999999998,0.596716,0.05063601,0.0,0.6,0.0,0.050742727,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.000114751994,-0.0054020286,-0.05133401,False,True,0,0,1,0,0,0,0,0
7,0.0,10.0,0.0,-122.0,0.0,146.0,48.0,7.3384e-06,0.612892,0.061206013,0.0,0.6,0.0,0.06254901,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0001927194,0.016175985,0.010570005,False,True,0,0,0,0,0,0,1,0
8,0.0,10.0,0.0,-127.0,0.0,146.0,48.0,6.4698e-05,0.578156,0.021150007999999998,0.0,0.6,0.0,0.030405404,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,5.7359597000000004e-05,-0.034735978,-0.040056005,False,True,0,0,0,0,0,1,0,0
